Year,Month,Day,Open,High,Low,Close,Volume,Adjusted,Rolling_Mean,Standard_dev,upper,lower,indicator
2010,12,2,568.66,573.33,565.35,571.82,2547900,571.82,596.381,21.2855285408,617.6665285408,575.0954714592,-1.1538825523
2010,12,1,563,571.57,562.4,564.35,3754100,564.35,598.799,21.0945440439,619.8935440439,577.7044559561,-1.633076303
2010,11,30,574.32,574.32,553.31,555.71,7117400,555.71,601.3615,19.7601777307,621.1216777307,581.6013222693,-2.3102778033
2010,11,29,589.17,589.8,579.95,582.11,2859700,582.11,604.326,16.7724898193,621.0984898193,587.5535101808,-1.3245499171
2010,11,26,590.46,592.98,587,590,1311100,590,605.9055,16.0417821149,621.9472821149,589.8637178851,-0.9915045527
2010,11,24,587.31,596.6,587.05,594.97,2396400,594.97,607.3345,15.8217935889,623.1562935889,591.5127064111,-0.7814853563
2010,11,23,587.01,589.01,578.2,583.01,2162600,583.01,608.4095,15.6671259834,624.0766259834,592.7423740166,-1.6211971505
2010,11,22,587.47,593.44,582.75,591.22,2186600,591.22,610.189,14.6163160093,624.8053160093,595.5726839907,-1.2977962428
2010,11,19,597,597.89,590.34,590.83,2297500,590.83,611.453,13.9682893124,625.4212893124,597.4847106876,-1.4764155824
2010,11,18,589,599.98,588.56,596.56,2590000,596.56,612.538,13.0977224215,625.6357224215,599.4402775785,-1.2199067506
2010,11,17,585,589.5,581.37,583.55,2442500,583.55,613.3095,12.5500176033,625.8595176033,600.7594823967,-2.3712715743
2010,11,16,592.76,597.89,583.45,583.72,3307400,583.72,614.531,10.5268838294,625.0578838294,604.0041161706,-2.9268870541
2010,11,15,603.08,604,594.05,595.47,3478900,595.47,615.7365,7.8539680048,623.5904680048,607.8825319952,-2.5804154012
2010,11,12,613.99,616.9,601.21,603.29,3393000,603.29,616.8485,6.242655706,623.091155706,610.605844294,-2.1719121859
2010,11,11,619.7,619.85,614.21,617.19,2261600,617.19,616.7565,6.4626695437,623.2191695437,610.2938304563,0.0670775439
2010,11,10,622.08,623,617.51,622.88,2497000,622.88,612.9435,18.1401657495,631.0836657495,594.8033342505,0.5477623599
2010,11,9,630,630.85,620.51,624.82,2237200,624.82,608.9645,23.7166174199,632.6811174199,585.2478825801,0.6685396876
2010,11,8,624.02,629.49,623.13,626.77,2101300,626.77,604.793,27.7715955041,632.5645955041,577.0214044959,0.7913481239
2010,11,5,623.18,625.49,621.11,625.08,1765700,625.08,600.3965,30.8938711815,631.2903711815,569.5026288185,0.7989772423
2010,11,4,624.64,629.92,622.1,624.27,3570800,624.27,595.96,33.4295981367,629.3895981367,562.5304018633,0.846854332
2010,11,3,617.5,621.83,613.5,620.18,3380500,620.18,591.247,35.7895321509,627.0365321509,555.4574678491,0.8084207382
2010,11,2,618.67,620,614.58,615.6,1997600,615.6,586.9555,37.2535637963,624.2090637963,549.7019362037,0.7689063027
2010,11,1,615.73,620.66,611.21,615,3087100,615,583.087,38.1293459438,621.2163459438,544.9576540562,0.8369668876
2010,10,29,617.07,619,612.99,613.7,2278300,613.7,578.4545,39.6460895364,618.1005895364,538.8084104636,0.8890031883
2010,10,28,620.05,621,613.3,618.58,2184300,618.58,574.0505,40.4095941546,614.4600941546,533.6409058454,1.1019536556
2010,10,27,615.77,620,612.33,616.47,2241900,616.47,569.411,40.3546586237,609.7656586237,529.0563413763,1.1661354997
2010,10,26,613.1,621.23,611.03,618.6,2512900,618.6,564.972,39.7845969401,604.7565969401,525.1874030599,1.3479588616
2010,10,25,615.59,624.74,614.97,616.5,3158400,616.5,560.4005,38.5312760829,598.9317760829,521.8692239171,1.4559471085
2010,10,22,611.92,614.82,610.05,612.53,2256100,612.53,556.096,36.6995104513,592.7955104513,519.3964895487,1.5377316838
2010,10,21,611.51,616,606,611.99,2920500,611.99,551.834,34.6956114926,586.5296114926,517.1383885074,1.7338215818
2010,10,20,608.14,617.38,607.5,607.98,3525100,607.98,546.9085,32.6375612277,579.5460612277,514.2709387723,1.871202924
2010,10,19,608.85,614.82,602.86,607.83,4587900,607.83,542.3095,29.9487183585,572.2582183585,512.3607816415,2.1877563913
